id,name,age,salary,department,rating
1,Person_1,59,29552.325433639686,Marketing,2.5634934158857052
2,Person_2,62,40299.19566512661,Marketing,2.3096395853883687
3,Person_3,35,24320.36474975517,HR,3.347848856317662
4,Person_4,70,56922.45002863543,Engineering,1.802992895623774
5,Person_5,25,49274.56007142547,Marketing,2.9071637833342145
6,Person_6,35,51881.96713710236,HR,2.9991812443438812
7,Person_7,33,61974.88321762282,Engineering,2.499963969957625
8,Person_8,37,36457.79724363655,HR,2.0934575842731302
9,Person_9,74,39282.98879113542,HR,2.925716017396216
10,Person_10,64,84725.72858930458,Engineering,4.04820328273602
11,Person_11,30,67043.13427519365,HR,4.671576810842304
12,Person_12,40,29505.261012231626,Sales,1.7069774110099027
13,Person_13,42,67566.07257955901,Marketing,4.686444998698376
14,Person_14,18,71983.65009179573,Engineering,3.802795561454992
15,Person_15,28,63258.00197667522,Engineering,2.332017117346298
16,Person_16,45,68072.3615158771,Sales,2.32421797318007
17,Person_17,24,59709.81022905037,Sales,1.8725815861704382
18,Person_18,61,41166.55935229525,Marketing,1.3852438103870437
19,Person_19,66,58946.29902369074,Sales,4.256699471894607
20,Person_20,79,63197.5456047795,Sales,3.381544213628965
21,Person_21,59,36587.520073648266,Sales,3.979921319817861
22,Person_22,49,33952.79404820977,HR,4.195386642711431
23,Person_23,56,34089.80803086925,HR,4.50226155327449
24,Person_24,45,37491.458643973536,Sales,3.966457449602174
25,Person_25,76,40088.396328573224,HR,1.7272385869225113
26,Person_26,50,86865.73808231285,Engineering,4.06675751584555
27,Person_27,28,56318.7978382543,Marketing,1.4049307452595081
28,Person_28,68,17001.002049462768,Marketing,1.4553154698477657
29,Person_29,51,66445.12249430304,Engineering,3.2729139955379916
30,Person_30,38,72618.2391395179,HR,2.3290576914966823
31,Person_31,31,31408.262062210786,Sales,2.8607735350314343
32,Person_32,31,53495.5712499415,Engineering,1.334124373250027
33,Person_33,78,81046.49817769945,Sales,3.334407651986833
34,Person_34,70,46347.22161888172,Marketing,2.3102851144297816
35,Person_35,26,50764.31221268159,Engineering,3.951021476516149
36,Person_36,33,50576.99209005772,Engineering,3.052566225479694
37,Person_37,54,73887.86119571535,Sales,2.7611630680953634
38,Person_38,68,65786.71923793148,Sales,3.5026867375246464
39,Person_39,59,81364.6758555932,Sales,4.605013181360231
40,Person_40,48,56469.604634853175,Marketing,2.1687794788743413
41,Person_41,65,32955.3899471385,HR,3.438983236884518
42,Person_42,76,76617.67489897164,HR,3.322072115387927
43,Person_43,54,66083.1372530614,Sales,2.807793056900168
44,Person_44,26,39266.460163515585,Engineering,4.726545970179474
45,Person_45,70,40593.293973475025,Marketing,4.863306188387046
46,Person_46,22,60264.45900401871,Engineering,3.711053783786116
47,Person_47,30,51932.96226444712,Marketing,3.701766710555441
48,Person_48,75,61307.677006538215,Engineering,2.7318714716275405
49,Person_49,45,52405.95130545339,Marketing,1.2462145805374938
50,Person_50,26,59798.03813190243,Sales,2.830582384360083
51,Person_51,73,59284.05415737085,Engineering,3.0422935682327457
52,Person_52,59,65045.090894854045,HR,4.183986534385619
53,Person_53,62,42757.054566351035,HR,1.0117153658976124
54,Person_54,69,58509.334441419654,Sales,1.1915179599866934
55,Person_55,28,36749.86238916872,Engineering,1.3980225250002283
56,Person_56,43,32764.96568480946,Marketing,3.378060766287175
57,Person_57,74,24380.926160089435,Marketing,3.1546432971516056
58,Person_58,40,34574.49280161423,HR,1.4206431595335012
59,Person_59,63,58084.15976483202,Engineering,4.664430927380094
60,Person_60,58,71053.46600116554,Engineering,4.758378208537104
61,Person_61,47,43587.59241904828,Sales,2.764228303942557
62,Person_62,65,51864.158783870655,Engineering,1.3603243945679777
63,Person_63,41,74326.91716948329,Sales,4.680526642059704
64,Person_64,69,23495.959228783795,Sales,2.579702856828039
65,Person_65,57,34699.334812916524,Marketing,3.4290463830337723
66,Person_66,26,52105.70521130039,Sales,4.222448046562471
67,Person_67,50,77288.48958370711,Engineering,1.8224983633184215
68,Person_68,65,62708.91019271417,Marketing,4.218746022079002
69,Person_69,44,65024.75343752683,Sales,2.3527100306320476
70,Person_70,28,49768.908887170415,Sales,3.763533026504979
71,Person_71,30,22627.343460375,Sales,4.994974372953218
72,Person_72,57,46416.04212307161,Marketing,4.1596807609294295
73,Person_73,64,62619.76689568912,Sales,1.920237293572438
74,Person_74,72,83581.7215271637,Sales,2.951432904741792
75,Person_75,33,37012.38443799957,Engineering,2.8548312848219144
76,Person_76,79,45971.83739828702,Sales,2.6343978247278477
77,Person_77,27,56416.620799304,Marketing,2.198800247792044
78,Person_78,53,60525.3554877663,Marketing,4.09133813025775
79,Person_79,36,55398.55979674773,Engineering,1.3805184585233365
80,Person_80,21,51850.164026345956,Engineering,2.9520625914361256
81,Person_81,67,41416.61951736101,Sales,3.5869392310266854
82,Person_82,55,46935.06047232718,Sales,1.6368086003446387
83,Person_83,20,45364.01777574071,HR,2.124409597011767
84,Person_84,44,52501.77012384766,Engineering,3.5677570859069365
85,Person_85,52,57009.66194243684,Marketing,2.6933062600623505
86,Person_86,29,37282.55218464751,Sales,3.4119935438870996
87,Person_87,49,41723.65121429319,Engineering,1.1865591200053536
88,Person_88,31,36312.656099454594,Engineering,2.2602733618241957
89,Person_89,32,35866.74933612461,Engineering,3.6700578621431927
90,Person_90,40,48059.60715354656,HR,2.25061840989469
91,Person_91,37,62379.40707036148,HR,4.955853599260614
92,Person_92,70,48847.415289686935,Marketing,4.4992609296605615
93,Person_93,76,35598.99367923958,Marketing,3.8158599236245436
94,Person_94,49,64890.24320108805,Sales,2.9980031538453376
95,Person_95,65,27002.302450161857,Sales,1.1635834537246468
96,Person_96,24,53106.874069072226,Sales,1.865582482320204
97,Person_97,44,63412.4258895609,Engineering,1.4727052949534505
98,Person_98,65,68966.26721696196,Engineering,2.382004009167195
99,Person_99,45,50648.37871901684,Sales,1.706793447864552
100,Person_100,77,54321.53392568613,Sales,3.4365132393218834
